戳砯嘿	虏嘿	戳砯嘿	ら戳	戳る	秨絃基	程蔼基	程基	Μ絃基	–ら挡衡基	礚繧瞯	ゼキ计	逞緇ぱ计
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100104	201001	 8203.0000	 8211.0000	 8101.0000	 8166.0000	 8167.0000	     -	    50760	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100105	201001	 8212.0000	 8260.0000	 8125.0000	 8178.0000	 8178.0000	     -	    51769	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100106	201001	 8197.0000	 8336.0000	 8179.0000	 8320.0000	 8321.0000	     -	    54934	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100107	201001	 8335.0000	 8355.0000	 8230.0000	 8259.0000	 8260.0000	     -	    54734	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100108	201001	 8287.0000	 8297.0000	 8183.0000	 8278.0000	 8277.0000	     -	    55794	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100111	201001	 8278.0000	 8353.0000	 8251.0000	 8325.0000	 8322.0000	     -	    56822	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100112	201001	 8318.0000	 8337.0000	 8246.0000	 8308.0000	 8309.0000	     -	    56634	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100113	201001	 8259.0000	 8275.0000	 8191.0000	 8215.0000	 8215.0000	     -	    56891	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100114	201001	 8246.0000	 8328.0000	 8236.0000	 8301.0000	 8299.0000	     -	    56371	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100115	201001	 8310.0000	 8385.0000	 8307.0000	 8369.0000	 8367.0000	     -	    54424	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100118	201001	 8300.0000	 8383.0000	 8286.0000	 8353.0000	 8351.0000	     -	    49011	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100119	201001	 8370.0000	 8382.0000	 8230.0000	 8270.0000	 8269.0000	     -	    35839	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100120	201001	 8306.0000	 8312.0000	 8198.0000	 8215.0000	 8214.0000	     -	    25310	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100121	201002	 8185.0000	 8213.0000	 8112.0000	 8134.0000	 8134.0000	     -	    53155	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100122	201002	 8019.0000	 8023.0000	 7884.0000	 7897.0000	 7897.0000	     -	    57449	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100125	201002	 7822.0000	 7912.0000	 7802.0000	 7852.0000	 7852.0000	     -	    59162	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100126	201002	 7832.0000	 7886.0000	 7520.0000	 7556.0000	 7558.0000	     -	    54769	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100127	201002	 7574.0000	 7633.0000	 7509.0000	 7534.0000	 7535.0000	     -	    56155	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100128	201002	 7579.0000	 7745.0000	 7555.0000	 7699.0000	 7697.0000	     -	    53073	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100129	201002	 7552.0000	 7633.0000	 7442.0000	 7580.0000	 7581.0000	     -	    53861	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100201	201002	 7569.0000	 7634.0000	 7442.0000	 7513.0000	 7510.0000	     -	    58055	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100202	201002	 7580.0000	 7603.0000	 7346.0000	 7371.0000	 7374.0000	     -	    59631	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100203	201002	 7456.0000	 7528.0000	 7390.0000	 7501.0000	 7501.0000	     -	    57371	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100204	201002	 7503.0000	 7538.0000	 7460.0000	 7507.0000	 7505.0000	     -	    54743	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100205	201002	 7300.0000	 7321.0000	 7130.0000	 7201.0000	 7202.0000	     -	    54340	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100206	201002	 7229.0000	 7236.0000	 7056.0000	 7155.0000	 7155.0000	     -	    55080	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100208	201002	 7155.0000	 7235.0000	 7125.0000	 7160.0000	 7162.0000	     -	    48399	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100209	201002	 7171.0000	 7344.0000	 7151.0000	 7316.0000	 7316.0000	     -	    37004	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100210	201002	 7350.0000	 7479.0000	 7345.0000	 7419.0000	 7414.0000	     -	    27576	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100222	201002	 7708.0000	 7708.0000	 7553.0000	 7558.0000	 7558.0000	     -	    20726	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100223	201003	 7534.0000	 7552.0000	 7451.0000	 7535.0000	 7537.0000	     -	    45011	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100224	201003	 7468.0000	 7545.0000	 7458.0000	 7480.0000	 7481.0000	     -	    47018	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100225	201003	 7505.0000	 7522.0000	 7335.0000	 7368.0000	 7368.0000	     -	    51638	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100226	201003	 7378.0000	 7434.0000	 7341.0000	 7383.0000	 7383.0000	     -	    50532	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100301	201003	 7413.0000	 7605.0000	 7395.0000	 7575.0000	 7571.0000	     -	    52094	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100302	201003	 7595.0000	 7649.0000	 7569.0000	 7601.0000	 7598.0000	     -	    51293	    -
ZTXA   	る戳砯计	ZTXA           る戳砯计           	20100303	201003	 7596.0000	 7664.0000	 7578.0000	 7611.0000	 7612.0000	     -	    51406	    -
