身份別	簡稱	年月日	多方未平倉口數	空方未平倉口數
COID	Name	MDATE	VOLUME	VOLUME2
12MTX  	投信－小型臺指期	20070702	       0	       2
12MTX  	投信－小型臺指期	20070703	       0	       2
12MTX  	投信－小型臺指期	20070704	       0	       2
12MTX  	投信－小型臺指期	20070705	       0	       2
12MTX  	投信－小型臺指期	20070706	       2	       2
12MTX  	投信－小型臺指期	20070709	       2	       2
12MTX  	投信－小型臺指期	20070710	       2	       2
12MTX  	投信－小型臺指期	20070711	       0	       0
12MTX  	投信－小型臺指期	20070712	       0	       0
12MTX  	投信－小型臺指期	20070713	       0	       0
12MTX  	投信－小型臺指期	20070716	       0	       0
12MTX  	投信－小型臺指期	20070717	       0	       0
12MTX  	投信－小型臺指期	20070718	       0	       0
12MTX  	投信－小型臺指期	20070719	       0	       0
12MTX  	投信－小型臺指期	20070720	       0	       0
12MTX  	投信－小型臺指期	20070723	       0	       0
12MTX  	投信－小型臺指期	20070724	       0	       0
12MTX  	投信－小型臺指期	20070725	       0	       0
12MTX  	投信－小型臺指期	20070726	       0	       0
12MTX  	投信－小型臺指期	20070727	       0	       0
12MTX  	投信－小型臺指期	20070730	       0	       0
12MTX  	投信－小型臺指期	20070731	       0	       0
12MTX  	投信－小型臺指期	20070801	       0	       0
12MTX  	投信－小型臺指期	20070802	       0	       0
12MTX  	投信－小型臺指期	20070803	       0	       0
12MTX  	投信－小型臺指期	20070806	       0	       0
12MTX  	投信－小型臺指期	20070807	       0	       0
12MTX  	投信－小型臺指期	20070808	       0	       0
12MTX  	投信－小型臺指期	20070809	       0	       0
12MTX  	投信－小型臺指期	20070810	       0	       0
12MTX  	投信－小型臺指期	20070813	       0	       0
12MTX  	投信－小型臺指期	20070814	       0	       0
12MTX  	投信－小型臺指期	20070815	       0	       0
12MTX  	投信－小型臺指期	20070816	       0	       0
12MTX  	投信－小型臺指期	20070817	       0	       0
12MTX  	投信－小型臺指期	20070820	       0	       0
12MTX  	投信－小型臺指期	20070821	       0	       0
12MTX  	投信－小型臺指期	20070822	       0	       0
12MTX  	投信－小型臺指期	20070823	       0	       0
12MTX  	投信－小型臺指期	20070824	       0	       0
12MTX  	投信－小型臺指期	20070827	       0	       0
12MTX  	投信－小型臺指期	20070828	       0	       0
12MTX  	投信－小型臺指期	20070829	       0	       0
12MTX  	投信－小型臺指期	20070830	       0	       0
12MTX  	投信－小型臺指期	20070831	       0	       0
12MTX  	投信－小型臺指期	20070903	       0	       0
12MTX  	投信－小型臺指期	20070904	       0	       0
12MTX  	投信－小型臺指期	20070905	       0	       0
12MTX  	投信－小型臺指期	20070906	       0	       0
12MTX  	投信－小型臺指期	20070907	       0	       0
12MTX  	投信－小型臺指期	20070910	       0	       0
12MTX  	投信－小型臺指期	20070911	       0	       0
12MTX  	投信－小型臺指期	20070912	       0	       0
12MTX  	投信－小型臺指期	20070913	       0	       0
12MTX  	投信－小型臺指期	20070914	       0	       0
12MTX  	投信－小型臺指期	20070917	       0	       0
12MTX  	投信－小型臺指期	20070919	       0	       0
12MTX  	投信－小型臺指期	20070920	       0	       0
12MTX  	投信－小型臺指期	20070921	       0	       0
12MTX  	投信－小型臺指期	20070926	       0	       0
12MTX  	投信－小型臺指期	20070927	       0	       0
12MTX  	投信－小型臺指期	20070928	       0	       0
12MTX  	投信－小型臺指期	20070929	       0	       0
12MTX  	投信－小型臺指期	20071001	       0	       0
12MTX  	投信－小型臺指期	20071002	       0	       0
12MTX  	投信－小型臺指期	20071003	       0	       0
12MTX  	投信－小型臺指期	20071004	       0	       0
12MTX  	投信－小型臺指期	20071005	       0	       0
12MTX  	投信－小型臺指期	20071008	       0	       0
12MTX  	投信－小型臺指期	20071009	       0	       0
12MTX  	投信－小型臺指期	20071011	       0	       0
12MTX  	投信－小型臺指期	20071012	       0	       0
12MTX  	投信－小型臺指期	20071015	       0	       0
12MTX  	投信－小型臺指期	20071016	       0	       0
12MTX  	投信－小型臺指期	20071017	       0	       0
12MTX  	投信－小型臺指期	20071018	       0	       0
12MTX  	投信－小型臺指期	20071019	       0	       0
12MTX  	投信－小型臺指期	20071022	       0	       0
12MTX  	投信－小型臺指期	20071023	       0	       0
12MTX  	投信－小型臺指期	20071024	       0	       0
12MTX  	投信－小型臺指期	20071025	       0	       0
12MTX  	投信－小型臺指期	20071026	       0	       0
12MTX  	投信－小型臺指期	20071029	       0	       0
12MTX  	投信－小型臺指期	20071030	       0	       0
12MTX  	投信－小型臺指期	20071031	       0	       0
12MTX  	投信－小型臺指期	20071101	       0	       0
12MTX  	投信－小型臺指期	20071102	       0	       0
12MTX  	投信－小型臺指期	20071105	       0	       0
12MTX  	投信－小型臺指期	20071106	       0	       0
12MTX  	投信－小型臺指期	20071107	       0	       0
12MTX  	投信－小型臺指期	20071108	       0	       0
12MTX  	投信－小型臺指期	20071109	       0	       0
12MTX  	投信－小型臺指期	20071112	       0	       0
12MTX  	投信－小型臺指期	20071113	       0	       0
12MTX  	投信－小型臺指期	20071114	       0	       0
12MTX  	投信－小型臺指期	20071115	       0	       0
12MTX  	投信－小型臺指期	20071116	       0	       0
12MTX  	投信－小型臺指期	20071119	       0	       0
12MTX  	投信－小型臺指期	20071120	       0	       0
12MTX  	投信－小型臺指期	20071121	       0	       0
12MTX  	投信－小型臺指期	20071122	       0	       0
12MTX  	投信－小型臺指期	20071123	       0	       0
12MTX  	投信－小型臺指期	20071126	       0	       0
12MTX  	投信－小型臺指期	20071127	       0	       0
12MTX  	投信－小型臺指期	20071128	       0	       0
12MTX  	投信－小型臺指期	20071129	       0	       0
12MTX  	投信－小型臺指期	20071130	       0	       0
12MTX  	投信－小型臺指期	20071203	       0	       0
12MTX  	投信－小型臺指期	20071204	       0	       0
12MTX  	投信－小型臺指期	20071205	       0	       0
12MTX  	投信－小型臺指期	20071206	       0	       0
12MTX  	投信－小型臺指期	20071207	       0	       0
12MTX  	投信－小型臺指期	20071210	       0	       0
12MTX  	投信－小型臺指期	20071211	       0	       0
12MTX  	投信－小型臺指期	20071212	       0	       0
12MTX  	投信－小型臺指期	20071213	       0	       0
12MTX  	投信－小型臺指期	20071214	       0	       0
12MTX  	投信－小型臺指期	20071217	       0	       0
12MTX  	投信－小型臺指期	20071218	       0	       0
