戳砯嘿	虏嘿	ら戳	秨絃基	程蔼基	程基	Μ絃基	Θユ眎计(秖)
COID	Name	MDATE	OPEN_D	HIGH_D	LOW_D	CLOSE_D	VOL_D
ZTXA   	る戳砯计	19980721	 8131.0000	 8131.0000	 8036.0000	 8045.0000	    208
ZTXA   	る戳砯计	19980722	 7950.0000	 7950.0000	 7820.0000	 7870.0000	    360
ZTXA   	る戳砯计	19980723	 7830.0000	 7859.0000	 7802.0000	 7825.0000	    190
ZTXA   	る戳砯计	19980724	 7750.0000	 7835.0000	 7740.0000	 7835.0000	    340
ZTXA   	る戳砯计	19980727	 7830.0000	 7835.0000	 7780.0000	 7786.0000	    150
ZTXA   	る戳砯计	19980728	 7809.0000	 7830.0000	 7741.0000	 7742.0000	    264
ZTXA   	る戳砯计	19980729	 7710.0000	 7729.0000	 7657.0000	 7680.0000	    323
ZTXA   	る戳砯计	19980730	 7665.0000	 7678.0000	 7620.0000	 7638.0000	    223
ZTXA   	る戳砯计	19980731	 7660.0000	 7683.0000	 7600.0000	 7600.0000	    257
ZTXA   	る戳砯计	19980801	 7557.0000	 7609.0000	 7550.0000	 7609.0000	    378
ZTXA   	る戳砯计	19980803	 7640.0000	 7657.0000	 7542.0000	 7552.0000	    293
ZTXA   	る戳砯计	19980804	 7555.0000	 7600.0000	 7548.0000	 7560.0000	    302
ZTXA   	る戳砯计	19980805	 7510.0000	 7520.0000	 7470.0000	 7487.0000	    455
ZTXA   	る戳砯计	19980806	 7515.0000	 7525.0000	 7451.0000	 7462.0000	    270
ZTXA   	る戳砯计	19980807	 7480.0000	 7520.0000	 7452.0000	 7515.0000	    453
ZTXA   	る戳砯计	19980810	 7500.0000	 7500.0000	 7350.0000	 7365.0000	    345
ZTXA   	る戳砯计	19980811	 7316.0000	 7379.0000	 7316.0000	 7360.0000	    386
ZTXA   	る戳砯计	19980812	 7335.0000	 7335.0000	 7281.0000	 7330.0000	    384
ZTXA   	る戳砯计	19980813	 7360.0000	 7378.0000	 7291.0000	 7291.0000	    496
ZTXA   	る戳砯计	19980814	 7275.0000	 7326.0000	 7140.0000	 7320.0000	    528
ZTXA   	る戳砯计	19980815	 7261.0000	 7338.0000	 7261.0000	 7300.0000	    361
ZTXA   	る戳砯计	19980817	 7285.0000	 7285.0000	 7219.0000	 7219.0000	    308
ZTXA   	る戳砯计	19980818	 7250.0000	 7250.0000	 7165.0000	 7220.0000	    574
ZTXA   	る戳砯计	19980819	 7269.0000	 7300.0000	 7260.0000	 7285.0000	    543
ZTXA   	る戳砯计	19980820	 7300.0000	 7300.0000	 7253.0000	 7274.0000	    322
ZTXA   	る戳砯计	19980821	 7255.0000	 7255.0000	 7220.0000	 7225.0000	    301
