戳砯嘿	虏嘿	ら戳	ゼキ计	秨絃基	程蔼基	程基	Μ絃基
COID	Name	MDATE	OI_2	OPEN_D	HIGH_D	LOW_D	CLOSE_D
ZMTXA  	る戳砯计	20010409	      287	 5480.0000	 5487.0000	 5389.0000	 5418.0000
ZMTXA  	る戳砯计	20010410	      459	 5420.0000	 5499.0000	 5305.0000	 5331.0000
ZMTXA  	る戳砯计	20010411	      542	 5420.0000	 5496.0000	 5345.0000	 5496.0000
ZMTXA  	る戳砯计	20010412	      656	 5497.0000	 5548.0000	 5470.0000	 5525.0000
ZMTXA  	る戳砯计	20010413	      771	 5580.0000	 5588.0000	 5455.0000	 5460.0000
ZMTXA  	る戳砯计	20010416	      626	 5461.0000	 5461.0000	 5405.0000	 5426.0000
ZMTXA  	る戳砯计	20010417	      353	 5420.0000	 5470.0000	 5380.0000	 5466.0000
ZMTXA  	る戳砯计	20010418	      133	 5465.0000	 5540.0000	 5451.0000	 5540.0000
ZMTXA  	る戳砯计	20010419	      870	 5701.0000	 5701.0000	 5624.0000	 5630.0000
ZMTXA  	る戳砯计	20010420	     1126	 5678.0000	 5678.0000	 5575.0000	 5590.0000
ZMTXA  	る戳砯计	20010423	     1176	 5570.0000	 5650.0000	 5570.0000	 5650.0000
ZMTXA  	る戳砯计	20010424	     1230	 5614.0000	 5675.0000	 5606.0000	 5622.0000
ZMTXA  	る戳砯计	20010425	     1644	 5620.0000	 5631.0000	 5511.0000	 5527.0000
ZMTXA  	る戳砯计	20010426	     1807	 5550.0000	 5576.0000	 5470.0000	 5552.0000
ZMTXA  	る戳砯计	20010427	     1998	 5550.0000	 5560.0000	 5432.0000	 5432.0000
ZMTXA  	る戳砯计	20010430	     1957	 5416.0000	 5490.0000	 5400.0000	 5430.0000
ZMTXA  	る戳砯计	20010502	     2230	 5461.0000	 5520.0000	 5315.0000	 5348.0000
ZMTXA  	る戳砯计	20010503	     2260	 5320.0000	 5428.0000	 5320.0000	 5428.0000
ZMTXA  	る戳砯计	20010504	     2376	 5412.0000	 5425.0000	 5201.0000	 5230.0000
ZMTXA  	る戳砯计	20010507	     2317	 5220.0000	 5310.0000	 5184.0000	 5269.0000
ZMTXA  	る戳砯计	20010508	     2379	 5268.0000	 5270.0000	 5130.0000	 5229.0000
ZMTXA  	る戳砯计	20010509	     2426	 5229.0000	 5279.0000	 5208.0000	 5230.0000
ZMTXA  	る戳砯计	20010510	     2423	 5223.0000	 5223.0000	 5153.0000	 5160.0000
ZMTXA  	る戳砯计	20010511	     2035	 5130.0000	 5278.0000	 5070.0000	 5250.0000
ZMTXA  	る戳砯计	20010514	     1853	 5220.0000	 5230.0000	 5170.0000	 5206.0000
ZMTXA  	る戳砯计	20010515	     1574	 5162.0000	 5218.0000	 5162.0000	 5182.0000
ZMTXA  	る戳砯计	20010516	     1048	 5182.0000	 5205.0000	 5014.0000	 5014.0000
ZMTXA  	る戳砯计	20010517	     1486	 5165.0000	 5185.0000	 5110.0000	 5160.0000
ZMTXA  	る戳砯计	20010518	     1791	 5178.0000	 5178.0000	 5070.0000	 5086.0000
ZMTXA  	る戳砯计	20010521	     2012	 5095.0000	 5100.0000	 4940.0000	 4981.0000
ZMTXA  	る戳砯计	20010522	     1999	 5002.0000	 5065.0000	 4970.0000	 4993.0000
ZMTXA  	る戳砯计	20010523	     1384	 4985.0000	 5230.0000	 4963.0000	 5230.0000
ZMTXA  	る戳砯计	20010524	     1551	 5220.0000	 5245.0000	 5179.0000	 5229.0000
ZMTXA  	る戳砯计	20010525	     1625	 5207.0000	 5209.0000	 5168.0000	 5182.0000
ZMTXA  	る戳砯计	20010528	     1828	 5181.0000	 5181.0000	 5095.0000	 5101.0000
ZMTXA  	る戳砯计	20010529	     1827	 5060.0000	 5194.0000	 5051.0000	 5116.0000
ZMTXA  	る戳砯计	20010530	     1922	 5106.0000	 5115.0000	 5060.0000	 5093.0000
ZMTXA  	る戳砯计	20010531	     2031	 5071.0000	 5110.0000	 5047.0000	 5090.0000
ZMTXA  	る戳砯计	20010601	     2230	 5097.0000	 5134.0000	 5021.0000	 5040.0000
ZMTXA  	る戳砯计	20010604	     2228	 5031.0000	 5060.0000	 4985.0000	 5029.0000
ZMTXA  	る戳砯计	20010605	     2259	 5047.0000	 5095.0000	 5010.0000	 5095.0000
ZMTXA  	る戳砯计	20010606	     1710	 5130.0000	 5225.0000	 5126.0000	 5193.0000
ZMTXA  	る戳砯计	20010607	     1923	 5174.0000	 5180.0000	 5148.0000	 5161.0000
ZMTXA  	る戳砯计	20010608	     1703	 5200.0000	 5257.0000	 5200.0000	 5235.0000
ZMTXA  	る戳砯计	20010611	     1698	 5200.0000	 5290.0000	 5185.0000	 5290.0000
ZMTXA  	る戳砯计	20010612	     1849	 5261.0000	 5280.0000	 5228.0000	 5248.0000
ZMTXA  	る戳砯计	20010613	     1930	 5240.0000	 5285.0000	 5186.0000	 5191.0000
ZMTXA  	る戳砯计	20010614	     1949	 5160.0000	 5174.0000	 5115.0000	 5143.0000
ZMTXA  	る戳砯计	20010615	     1911	 5101.0000	 5157.0000	 5096.0000	 5155.0000
ZMTXA  	る戳砯计	20010618	     1708	 5120.0000	 5140.0000	 5073.0000	 5088.0000
ZMTXA  	る戳砯计	20010619	     1430	 5086.0000	 5105.0000	 5061.0000	 5078.0000
ZMTXA  	る戳砯计	20010620	      785	 5070.0000	 5080.0000	 5008.0000	 5008.0000
ZMTXA  	る戳砯计	20010621	     2336	 5079.0000	 5088.0000	 4978.0000	 4994.0000
ZMTXA  	る戳砯计	20010622	     2546	 4990.0000	 5025.0000	 4937.0000	 4968.0000
ZMTXA  	る戳砯计	20010626	     2665	 4968.0000	 4975.0000	 4835.0000	 4835.0000
ZMTXA  	る戳砯计	20010627	     2776	 4799.0000	 4898.0000	 4799.0000	 4885.0000
ZMTXA  	る戳砯计	20010628	     3155	 4890.0000	 4890.0000	 4795.0000	 4825.0000
ZMTXA  	る戳砯计	20010629	     3212	 4880.0000	 4916.0000	 4864.0000	 4901.0000
ZMTXA  	る戳砯计	20010702	     2912	 4895.0000	 4938.0000	 4826.0000	 4925.0000
ZMTXA  	る戳砯计	20010703	     2965	 4905.0000	 4934.0000	 4846.0000	 4849.0000
